Time/s	Absorbance (460 nm)
6184.5	0.00662
6195.2	0.00554
6205.4	0.00439
6215.5	0.00365
6225.8	0.00338
6236.6	0.00347
6247.2	0.00378
6257.7	0.00418
6269.9	0.00468
6281.5	0.00514
6292.9	0.00555
6304	0.00587
6314.8	0.00609
6326.3	0.00615
6337.6	0.00593
6347.8	0.00546
6357.9	0.00483
6368.6	0.00425
6379.5	0.00391
6389.6	0.00385
6399.7	0.00398
6410.9	0.00426
6422.9	0.00465
6434.7	0.00507
6445.8	0.00548
6456.8	0.00587
6467.6	0.00623
6478.3	0.00657
6489	0.00683
6499.8	0.00696
6510	0.0068
6520.4	0.00617
6530.6	0.00515
6540.7	0.00419
6550.8	0.00362
6561.5	0.00346
6572	0.00361
6583	0.00395
6594	0.00438
6606.3	0.00488
6616.9	0.0053
6627.6	0.0057
6637.8	0.00603
6648.7	0.00631
6659.4	0.00647
6670.8	0.00638
6681.6	0.00594
6692.4	0.00516
6702.4	0.0044
6712.5	0.00388
6723.3	0.00368
6734.1	0.00377
6744.8	0.00404
6756.2	0.00442
6768.8	0.00491
6779.4	0.00532
6789.6	0.00571
6800.1	0.00609
6810.4	0.00645
6820.9	0.00678
6831.3	0.00704
6842.1	0.00716
6852.9	0.00691
6863	0.00615
6873.7	0.00492
6884.3	0.00392
6894.7	0.00344
6904.8	0.0034
6915	0.00361
6926.2	0.004
6937.9	0.00447
6948.3	0.00489
6959.4	0.00532
6970.9	0.0057
6981	0.00597
6991.6	0.00614
7002.2	0.00614
7013.7	0.00584
7024.5	0.00527
7035	0.00461
7045.3	0.00411
7056.1	0.00386
7066.5	0.00387
7077.3	0.00407
7088.1	0.00437
7099.6	0.00477
7111.6	0.0052
7122.3	0.00559
7132.7	0.00596
7142.9	0.0063
7153.4	0.00662
7163.9	0.00687
7174.8	0.00698
7185.3	0.00675
7195.4	0.00608
7206.2	0.00496
7216.8	0.00401
7227.4	0.00353
7237.5	0.00347
7248.4	0.00368
7259	0.00403
7271.1	0.00451
7281.8	0.00495
7292	0.00535
7302.3	0.00572
7312.5	0.00605
7323.4	0.00632
7334.4	0.00645
7345.2	0.00632
7356.1	0.00583
7366.7	0.00506
7376.7	0.00433
7386.8	0.00386
7396.9	0.0037
7407.8	0.00379
7418.7	0.00407
7430.5	0.00447
7440.8	0.00486
7451.6	0.00528
7462.2	0.00569
7472.9	0.00608
7483.2	0.00644
7493.6	0.00677
7504	0.00705
7514.5	0.00719
7524.6	0.00703
7535	0.00636
7545	0.00523
7555.7	0.0041
7566.1	0.0035
7576.5	0.00337
7587	0.00355
7597.4	0.00389
7607.6	0.00429
7618.8	0.00475
7630.4	0.0052
7641.4	0.00558
7652.3	0.00589
7663.3	0.00609
7673.8	0.00612
7685.5	0.00586
7695.5	0.00538
7705.6	0.00477
7716.2	0.00422
7727.1	0.00391
7737.4	0.00387
7747.8	0.00402
7759.5	0.00432
7770	0.00467
7781.9	0.00509
7792.5	0.00548
7802.6	0.00583
7812.6	0.00617
7822.9	0.00649
7833	0.00675
7843	0.0069
7853.9	0.00681
7864.7	0.00625
7875.4	0.00525
7885.7	0.00426
7896.1	0.00366
7906.3	0.00348
7916.7	0.00361
7927.5	0.00392
7937.9	0.00431
7949.4	0.00478
7960.4	0.00522
7971.7	0.00565
7982	0.006
7992.7	0.00631
8003.6	0.00652
8014.6	0.00654
8024.6	0.00626
8034.9	0.0056
8045.3	0.00474
8055.4	0.00405
8065.9	0.00369
8076.8	0.00366
8087.3	0.00386
8098	0.0042
8110	0.00465
8121.3	0.00509
8132.2	0.00552
8143.1	0.00592
8153.3	0.00628
8163.8	0.00662
8174.1	0.00689
8184.5	0.00703
8195.4	0.00687
8205.4	0.00625
8216.2	0.00514
8226.7	0.00411
8237.2	0.00355
8247.6	0.00344
8258	0.00361
8269	0.00396
8279.9	0.00439
8292.4	0.00489
8303.2	0.00531
8314.1	0.0057
8324.8	0.00602
8335.3	0.00625
8346.4	0.00632
8357.6	0.00612
8368.5	0.00557
8379.1	0.00483
8389.2	0.0042
8399.5	0.00384
8410.1	0.00376
8420.9	0.00392
8431.8	0.00421
8443.5	0.00462
8454.9	0.00505
8466.6	0.00549
8476.6	0.00586
8487.2	0.00624
8497.6	0.00659
8508.3	0.00692
8518.4	0.00715
8528.5	0.00721
8539.5	0.00686
8549.8	0.00595
8560	0.00472
8570.2	0.0038
8580.3	0.0034
8591	0.0034
8601.5	0.00365
8611.9	0.00403
8622	0.00444
8632.2	0.00486
8643.6	0.00529
8653.9	0.00563
8664.7	0.00591
8676	0.00609
