Time /s	Absorbance (460 nm)
11943	0.00636
11954	0.00682
11965	0.00726
11976	0.00763
11986	0.00786
11996	0.00788
12007	0.00755
12017	0.00683
12027	0.00592
12038	0.00516
12048	0.00485
12059	0.00489
12070	0.0052
12081	0.00563
12092	0.00613
12102	0.00659
12112	0.00702
12123	0.00743
12133	0.00774
12144	0.0079
12154	0.00779
12165	0.00724
12175	0.00638
12186	0.0055
12196	0.00496
12207	0.00483
12218	0.00503
12229	0.0054
12240	0.00589
12251	0.00641
12261	0.00685
12272	0.00728
12283	0.00764
12293	0.00787
12304	0.00787
12314	0.00752
12324	0.00679
12334	0.00588
12345	0.00514
12356	0.00485
12366	0.0049
12376	0.00517
12386	0.00558
12397	0.00605
12408	0.00654
12418	0.00699
12429	0.00741
12440	0.00773
12450	0.0079
12462	0.00777
12473	0.0072
12483	0.00634
12493	0.00547
12504	0.00495
12514	0.00484
12524	0.00501
12535	0.00536
12545	0.00582
12557	0.00634
12567	0.00681
12578	0.00725
12589	0.00763
12600	0.00786
12610	0.00788
12620	0.00756
12630	0.00685
12641	0.00593
12652	0.00517
12662	0.00485
12672	0.00489
12684	0.00519
12694	0.00562
12705	0.00611
12716	0.00658
12726	0.00701
12737	0.00743
12747	0.00774
12758	0.0079
12768	0.0078
12779	0.00726
12789	0.0064
12800	0.00551
12810	0.00497
12821	0.00483
12832	0.00503
12842	0.00539
12853	0.00587
12865	0.00639
12875	0.00684
12886	0.00727
12897	0.00764
12907	0.00786
12917	0.00788
12928	0.00753
12938	0.0068
12948	0.00589
12959	0.00515
12970	0.00485
12980	0.0049
12991	0.00522
13002	0.00566
13013	0.00617
13023	0.00662
13035	0.00709
13045	0.00748
13056	0.00777
13066	0.0079
13077	0.00773
13088	0.00711
13099	0.00615
13109	0.00535
13119	0.00491
13130	0.00485
13141	0.00508
13152	0.0055
13165	0.00606
13175	0.00654
13186	0.00699
13197	0.00741
13207	0.00773
13218	0.0079
13229	0.00777
13240	0.00719
13250	0.00633
13261	0.00547
13271	0.00495
13282	0.00484
13292	0.00502
13302	0.00536
13313	0.00583
13324	0.00635
13335	0.00681
13346	0.00726
13357	0.00763
13367	0.00786
13377	0.00788
13388	0.00756
13398	0.00684
13408	0.00592
13419	0.00517
13430	0.00485
13440	0.00489
13451	0.0052
13462	0.00563
13473	0.00612
13483	0.00658
13493	0.00702
13504	0.00743
13515	0.00774
13525	0.0079
13535	0.0078
13546	0.00725
13557	0.00639
13567	0.00551
13578	0.00497
13588	0.00483
13599	0.00503
13610	0.00539
13621	0.00588
13633	0.0064
13643	0.00684
13653	0.00728
13664	0.00764
13675	0.00786
13685	0.00787
13695	0.00752
13705	0.0068
13716	0.00589
13727	0.00514
13737	0.00485
13747	0.0049
13759	0.00522
13770	0.00567
13781	0.00618
13793	0.00671
13803	0.00714
13814	0.00752
13824	0.0078
13835	0.0079
13846	0.00766
13857	0.00699
13867	0.00605
13877	0.00529
13888	0.00488
13899	0.00487
13910	0.00513
13922	0.00559
13932	0.00607
13943	0.00655
13953	0.00699
13964	0.00742
13975	0.00773
13985	0.0079
13997	0.00777
14008	0.00718
14018	0.00632
14028	0.00546
14039	0.00495
14049	0.00484
14059	0.00502
14070	0.00537
14081	0.00583
14092	0.00636
14102	0.00682
14113	0.00726
14124	0.00763
14135	0.00786
14145	0.00788
14155	0.00755
14165	0.00683
14176	0.00592
14187	0.00516
14197	0.00485
14207	0.00489
14219	0.0052
14230	0.00564
14240	0.00613
14251	0.00659
14261	0.00702
14272	0.00743
14282	0.00774
14293	0.0079
14303	0.00779
14314	0.00724
14324	0.00638
14335	0.0055
14345	0.00496
14356	0.00483
14367	0.00503
14377	0.0054
14389	0.00589
14400	0.00641
14410	0.00685
14421	0.00728
14432	0.00764
14442	0.00787
14452	0.00787
14463	0.00752
14473	0.00679
14483	0.00588
14494	0.00514
14504	0.00485
14515	0.0049
14525	0.00517
14535	0.00558
14546	0.00605
14556	0.00654
14567	0.00699
14578	0.00741
14589	0.00773
14599	0.0079
14610	0.00777
14621	0.0072
14631	0.00634
14642	0.00547
14652	0.00495
14663	0.00484
14673	0.00501
14683	0.00536
14694	0.00582
14706	0.00634
14716	0.00681
14727	0.00725
14738	0.00763
14748	0.00786
14759	0.00788
14769	0.00756
14779	0.00685
14790	0.00593
14800	0.00517
14811	0.00485
14821	0.00489
14832	0.00519
14843	0.00562
14854	0.00611
14864	0.00658
14875	0.00701
14885	0.00743
14896	0.00774
14906	0.0079
14916	0.0078
14927	0.00726
14938	0.0064
14948	0.00551
14959	0.00497
14970	0.00483
14981	0.00503
14991	0.00539
15002	0.00587
15014	0.00639
15024	0.00684
15035	0.00727
15046	0.00764
15056	0.00786
15066	0.00788
15077	0.00753
15087	0.0068
15097	0.00589
15108	0.00515
15118	0.00485
15129	0.0049
15140	0.00522
15151	0.00566
15162	0.00617
15172	0.00662
15183	0.00709
15194	0.00748
15204	0.00777
15215	0.0079
15226	0.00773
15236	0.00711
15247	0.00615
15258	0.00535
15268	0.00491
15279	0.00485
15290	0.00508
15301	0.0055
15313	0.00606
15324	0.00654
15334	0.00699
15345	0.00741
15356	0.00773
15366	0.0079
15378	0.00777
15389	0.00719
15399	0.00633
15409	0.00547
15420	0.00495
15431	0.00484
15441	0.00502
15451	0.00536
15462	0.00583
15473	0.00635
15484	0.00681
15495	0.00726
15506	0.00763
15516	0.00786
15526	0.00788
15537	0.00756
15547	0.00684
15557	0.00592
15568	0.00516
15578	0.00485
15589	0.00489
15600	0.0052
15611	0.00563
15622	0.00612
15632	0.00658
15642	0.00702
15653	0.00743
15663	0.00774
15674	0.0079
15684	0.0078
15695	0.00725
15705	0.00639
15716	0.0055
15726	0.00497
15737	0.00483
15748	0.00503
15759	0.00539
15770	0.00588
15781	0.0064
15791	0.00684
15802	0.00728
15813	0.00764
15823	0.00786
15834	0.00787
15844	0.00752
15854	0.0068
15864	0.00588
15875	0.00514
15886	0.00485
15896	0.0049
15907	0.00522
15919	0.00567
15930	0.00618
15942	0.00671
15952	0.00714
15963	0.00752
15973	0.0078
15984	0.0079
15995	0.00766
16005	0.00699
16016	0.00605
16026	0.00529
16037	0.00488
16048	0.00487
16058	0.00513
16070	0.00559
16081	0.00607
16092	0.00655
16102	0.00699
16113	0.00742
16124	0.00773
16134	0.0079
16145	0.00777
16156	0.00718
16166	0.00632
16177	0.00546
16187	0.00495
16198	0.00484
16208	0.00502
16218	0.00537
16229	0.00584
16241	0.00636
16251	0.00682
16262	0.00726
16273	0.00763
16283	0.00786
16294	0.00788
16304	0.00755
16314	0.00683
16325	0.00592
16335	0.00516
16346	0.00485
16356	0.00489
16367	0.0052
16378	0.00564
16389	0.00613
16400	0.00659
16410	0.00702
