Time/s	Absorbance (460 nm)
6440.9	0.00807
6451.6	0.00824
6461.9	0.00809
6473	0.00744
6483.5	0.00647
6494.3	0.00559
6504.4	0.00517
6514.9	0.00515
6525.2	0.00543
6536	0.00589
6548.2	0.0065
6558.4	0.00703
6569.6	0.0076
6580.4	0.00812
6590.8	0.00858
6601	0.00895
6611.1	0.00915
6621.5	0.00896
6632	0.00805
6642.1	0.00658
6652.2	0.00533
6662.2	0.00475
6672.6	0.00474
6682.7	0.00508
6693	0.0056
6705.4	0.0063
6715.9	0.00689
6727.2	0.00744
6737.7	0.00788
6748.2	0.00817
6758.2	0.00823
6769.5	0.00788
6780.6	0.00702
6791.2	0.00603
6801.5	0.00535
6811.7	0.00512
6821.8	0.00523
6831.9	0.00558
6842.7	0.00607
6853.3	0.00662
6864.8	0.00721
6875.8	0.00777
6885.8	0.00824
6896	0.00867
6906	0.00901
6916.3	0.00915
6926.4	0.00885
6936.5	0.00784
6947.2	0.00626
6957.8	0.0051
6968.5	0.00469
6978.7	0.00482
6988.7	0.00523
6998.8	0.00577
7010.4	0.00643
7020.6	0.00698
7031.2	0.0075
7041.5	0.00791
7052	0.00819
7062.2	0.00822
7073.7	0.0078
7084.4	0.00693
7094.9	0.00597
7105.1	0.00532
7115.3	0.00512
7125.6	0.00526
7135.9	0.00562
7147.4	0.00617
7158.4	0.00673
7169	0.00728
7179.6	0.00781
7190.3	0.00831
7201	0.00875
7211.7	0.00908
7222.6	0.00911
7233.4	0.00852
7243.4	0.00725
7253.8	0.00577
7264.1	0.00489
7274.1	0.00468
7285	0.00494
7295.2	0.00541
7305.3	0.00597
7315.4	0.00655
7327.2	0.00717
7337.9	0.00766
7348.8	0.00805
7359.4	0.00824
7369.4	0.00813
7380.7	0.00751
7391.4	0.00653
7402.3	0.00563
7412.4	0.00518
7422.9	0.00514
7433	0.0054
7443.5	0.00583
7455.1	0.00641
7465.7	0.00696
7476.1	0.0075
7486.4	0.008
7496.5	0.00845
7506.8	0.00886
7517.6	0.00913
7528.3	0.00903
7539.1	0.00823
7549.4	0.00678
7559.6	0.00545
7569.6	0.00478
7579.9	0.00471
7590.7	0.00505
7602.2	0.00563
7612.3	0.00621
7623	0.0068
7633.2	0.00732
7644.3	0.0078
7654.9	0.00813
7665.9	0.00824
7677.1	0.00793
7687.2	0.0072
7698.2	0.00617
7708.7	0.00542
7718.8	0.00513
7729.7	0.00522
7741	0.0056
7752.1	0.00612
7763	0.00668
7774.1	0.00725
7784.8	0.00779
7795.7	0.00829
7806.4	0.00874
7817.1	0.00907
7827.9	0.00912
7838.7	0.00856
7848.8	0.0073
7859.2	0.00581
7869.5	0.0049
7879.6	0.00468
7890.4	0.00492
7901.7	0.00545
7912.3	0.00605
7922.8	0.00663
7934	0.00722
7944.4	0.00769
7955.2	0.00807
7965.9	0.00824
7976.2	0.0081
7987.2	0.00744
7997.8	0.00647
8008.6	0.00559
8018.7	0.00517
8029.2	0.00515
8039.4	0.00542
8050.3	0.00589
8062.5	0.0065
8072.7	0.00703
8083.9	0.0076
8094.7	0.00812
8105.2	0.00858
8115.3	0.00895
8125.4	0.00915
8135.8	0.00896
8146.3	0.00805
8156.4	0.00659
8166.5	0.00533
8176.5	0.00475
8186.9	0.00474
8197	0.00508
8207.2	0.0056
8219.6	0.0063
8230.2	0.00688
8241.4	0.00744
8252	0.00787
8262.5	0.00817
8273.9	0.00822
8285.4	0.00778
8296	0.00691
8306.5	0.00595
8316.8	0.00531
8326.9	0.00511
8337.2	0.00526
8347.6	0.00564
8359.3	0.00619
8370.3	0.00676
8380.8	0.0073
8391.2	0.00782
8401.9	0.00832
8412.6	0.00876
8423.3	0.00908
8434.2	0.00911
8445.1	0.0085
8455.9	0.0071
8466.2	0.00566
8476.4	0.00485
8486.5	0.00469
8496.7	0.00494
8506.9	0.00542
8517.1	0.00599
8527.4	0.00657
8538.9	0.00718
8549.6	0.00767
8560.5	0.00806
8571.1	0.00824
8581.2	0.00812
8592.4	0.00749
8603.1	0.00652
8613.9	0.00562
8624	0.00518
8634.5	0.00515
8644.6	0.0054
8655.2	0.00585
8667	0.00644
8677.5	0.00698
8687.8	0.00751
8698.1	0.00801
8708.1	0.00846
8718.4	0.00886
8729.2	0.00913
8739.9	0.00903
8750.7	0.00821
8761	0.00676
8771.2	0.00544
8781.2	0.00478
8791.5	0.00471
8802.3	0.00506
8813.9	0.00565
8824.2	0.00623
8834.9	0.00683
8844.9	0.00733
8856	0.00781
8866.6	0.00814
8877.6	0.00824
8888.8	0.00792
8898.9	0.00718
8909.8	0.00616
8920.3	0.00541
8930.4	0.00513
8941.4	0.00522
8952.7	0.00561
8964	0.00614
8974.9	0.0067
8985.8	0.00726
8996.5	0.0078
9007.3	0.0083
9018	0.00875
9028.7	0.00907
9039.6	0.00912
9050.4	0.00855
9060.4	0.00728
9070.8	0.00579
9081.1	0.0049
9091.2	0.00468
9102	0.00493
9112	0.00539
9124.1	0.00607
9134.6	0.00666
9145.7	0.00723
9156.1	0.0077
9166.9	0.00807
9177.6	0.00824
9187.9	0.00809
9198.9	0.00743
9209.4	0.00646
9220.2	0.00558
9230.3	0.00517
9240.8	0.00516
9251.1	0.00543
9262.1	0.0059
9274.4	0.00652
9284.5	0.00705
9295.6	0.00761
9306.3	0.00813
9316.8	0.00858
9326.9	0.00895
9337	0.00915
9347.4	0.00895
9357.9	0.00803
9368	0.00657
9378.1	0.00532
9388.8	0.00473
9399.3	0.00476
9409.8	0.00514
